record_id,scope,institution_id,gc_orgID,institution_name_en,institution_name_fr,bank_number_key,pib_type,title_en,title_fr,source_url_en,source_url_fr,specific_information_types_en,specific_information_types_fr,category_ids,category_count,category_max_confidence,category_ambiguous,category_unclassified,unmapped_concepts,interaction_topic_codes,interaction_topic_max_confidence,individual_role_codes,service_action_codes,question_codes,question_count,candidate_question_codes,candidate_question_count,time_follow_up_required,privacy_caveat_codes,retention_rule_type,retention_reference_events,retention_minimum_years,retention_maximum_years,retention_disposition,retention_confidence,retention_language_agreement,retention_requires_institution_contact,retention_requires_schedule_lookup,retention_has_indefinite_component,retention_has_immediate_disposal,retention_is_under_review,retention_text_en,retention_text_fr
standard:PSU 906,standard,,,Government of Canada institutions,Institutions du gouvernement du Canada,PSU 906,Public Standard Bank,Disclosure of Wrongdoing in the Workplace,Divulgation d’information sur les actes fautifs commis en milieu de travail,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#psu906,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#pou906,,,PI_CAT-1|PI_CAT-3|PI_CAT-10|PI_CAT-12|PI_CAT-17|PI_CAT-18|PI_CAT-24,7,1.00,false,false,,government_employment|justice_public_safety,0.88,representative_guardian|victim_witness,,,0,q_government_work|q_justice_safety,2,false,historical_or_ended_bank|possible_sharing|possible_third_party_information|sensitive_context,institution_defined,unspecified_start,,,unknown,low,no_numeric_periods,true,false,false,false,false,"For information about the length of time that specific types of common administrative records are maintained by a government institution, including the final disposition of those records, please contact the institution’s Access to Information and Privacy Coordinator.","Pour connaître la durée de conservation de certains types de documents administratifs communs par une institution fédérale, y compris la destruction finale de ces documents, veuillez communiquer avec le coordonnateur de l’accès à l’information et de la protection des renseignements personnels."
standard:PSU 913,standard,,,Government of Canada institutions,Institutions du gouvernement du Canada,PSU 913,Public Standard Bank,Disclosure to Investigative Bodies,Divulgation aux organismes d’enquête,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#psu913,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#pou913,,,,0,,true,true,,access_privacy|justice_public_safety,0.99,,,,0,q_access_privacy|q_justice_safety,2,false,possible_sharing|sensitive_context,institution_defined,unspecified_start,,,unknown,low,no_numeric_periods,true,false,false,false,false,"For information about the length of time that specific types of common administrative records are maintained by a government institution, including the final disposition of those records, please contact the institution’s Access to Information and Privacy Coordinator.","Pour connaître la durée de conservation de certains types de documents administratifs communs par une institution fédérale, y compris la destruction finale de ces documents, veuillez communiquer avec le coordonnateur de l’accès à l’information et de la protection des renseignements personnels."
standard:PSU 905,standard,,,Government of Canada institutions,Institutions du gouvernement du Canada,PSU 905,Public Standard Bank,Electronic Network Monitoring Logs,Journaux de contrôle des réseaux électroniques,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#psu905,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#pou905,,,,0,,true,true,digital or network identifier,business_regulation|contracts_procurement|education_training|government_employment|justice_public_safety,0.96,government_employee|member_general_public|student_learner,worked_for_government,,0,q_business_supplier|q_education_training|q_government_work|q_justice_safety,4,false,broad_population|possible_sharing|sensitive_context,institution_defined,unspecified_start,,,unknown,low,no_numeric_periods,true,false,false,false,false,"For information about the length of time that specific types of common administrative records are maintained by a government institution, including the final disposition of those records, please contact the institution’s Access to Information and Privacy Coordinator.","Pour connaître la durée de conservation de certains types de documents administratifs communs par une institution fédérale, y compris la destruction finale de ces documents, veuillez communiquer avec le coordonnateur de l’accès à l’information et de la protection des renseignements personnels."
standard:PSE 916,standard,,,Government of Canada institutions,Institutions du gouvernement du Canada,PSE 916,Employee Standard Bank,Employee Assistance,Aide aux employés,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#pse916,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#poe916,,,PI_CAT-16,1,1.00,false,false,,communications_engagement|health_disability,0.90,government_employee,,,0,q_civic_contact|q_government_work|q_health_disability,3,false,sensitive_context,institution_defined,unspecified_start,,,unknown,low,no_numeric_periods,true,false,false,false,false,"For information about the length of time that specific types of common administrative records are maintained by a government institution, including the final disposition of those records, please contact the institution’s Access to Information and Privacy Coordinator.","Pour connaître la durée de conservation de certains types de documents administratifs communs par une institution fédérale, y compris la destruction finale de ces documents, veuillez communiquer avec le coordonnateur de l’accès à l’information et de la protection des renseignements personnels."
standard:PSE 912,standard,,,Government of Canada institutions,Institutions du gouvernement du Canada,PSE 912,Employee Standard Bank,Employee Performance Management Program,Programme de gestion du rendement des employés,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#pse912,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#poe912,,,PI_CAT-1|PI_CAT-10|PI_CAT-12|PI_CAT-16|PI_CAT-17|PI_CAT-18|PI_CAT-19|PI_CAT-24,8,1.00,true,false,education,access_privacy|benefits_support|complaints_appeals_legal|government_employment|health_disability|justice_public_safety,0.92,government_employee,worked_for_government,q_government_work,1,q_access_privacy|q_complaint_appeal|q_government_work|q_health_disability|q_justice_safety|q_money_programs,6,true,historical_or_ended_bank|possible_sharing|sensitive_context,institution_defined,unspecified_start,,,unknown,low,no_numeric_periods,true,false,false,false,false,"For information about the length of time that specific types of common administrative records are maintained by a government institution, including the final disposition of those records, please contact the institution’s Access to Information and Privacy Coordinator.","Pour connaître la durée de conservation de certains types de documents administratifs communs par une institution fédérale, y compris la destruction finale de ces documents, veuillez communiquer avec le coordonnateur de l’accès à l’information et de la protection des renseignements personnels."
standard:PSE 901,standard,,,Government of Canada institutions,Institutions du gouvernement du Canada,PSE 901,Employee Standard Bank,Employee Personnel Record,Dossier personnel d’un employé,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#pse901,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#poe901,,,PI_CAT-1|PI_CAT-3|PI_CAT-4|PI_CAT-10|PI_CAT-11|PI_CAT-12|PI_CAT-13|PI_CAT-16|PI_CAT-17|PI_CAT-19|PI_CAT-22|PI_CAT-24|PI_CAT-25,13,1.00,true,false,education,access_privacy|benefits_support|business_regulation|complaints_appeals_legal|emergency_assistance|government_employment|health_disability|immigration_citizenship|justice_public_safety|payments_debt|tax_customs_duties|travel_border|veterans_military,0.99,family_dependent,received_money_support|worked_for_government,q_government_work,1,q_access_privacy|q_business_supplier|q_complaint_appeal|q_emergency|q_family_vital|q_government_work|q_health_disability|q_immigration|q_justice_safety|q_military_veterans|q_money_programs|q_tax_customs|q_travel_border,13,true,possible_sharing|possible_third_party_information|sensitive_context,institution_defined,unspecified_start,,,unknown,low,no_numeric_periods,true,false,false,false,false,"For information about the length of time that specific types of common administrative records are maintained by a government institution, including the final disposition of those records, please contact the institution’s Access to Information and Privacy Coordinator.","Pour connaître la durée de conservation de certains types de documents administratifs communs par une institution fédérale, y compris la destruction finale de ces documents, veuillez communiquer avec le coordonnateur de l’accès à l’information et de la protection des renseignements personnels."
standard:PSE 918,standard,,,Government of Canada institutions,Institutions du gouvernement du Canada,PSE 918,Employee Standard Bank,Employment Equity and Diversity,Équité en emploi et diversité,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#pse918,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#poe918,,,PI_CAT-1|PI_CAT-10|PI_CAT-12,3,1.00,false,false,,education_training|government_employment|health_disability|indigenous_services|research_surveys,0.90,complainant_appellant|government_employee|patient_disabled_person,,q_government_work,1,q_complaint_appeal|q_education_training|q_government_work|q_health_disability|q_indigenous_services|q_research_survey,6,true,sensitive_context,institution_defined,unspecified_start,,,unknown,low,no_numeric_periods,true,false,false,false,false,"For information about the length of time that specific types of common administrative records are maintained by a government institution, including the final disposition of those records, please contact the institution’s Access to Information and Privacy Coordinator.","Pour connaître la durée de conservation de certains types de documents administratifs communs par une institution fédérale, y compris la destruction finale de ces documents, veuillez communiquer avec le coordonnateur de l’accès à l’information et de la protection des renseignements personnels."
standard:PSU 902,standard,,,Government of Canada institutions,Institutions du gouvernement du Canada,PSU 902,Public Standard Bank,Executive Correspondence,Correspondance à la direction,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#psu902,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#pou902,,,PI_CAT-3|PI_CAT-17,2,1.00,false,false,,communications_engagement,0.99,member_general_public,,q_civic_contact,1,q_civic_contact,1,true,broad_population,institution_defined,unspecified_start,,,unknown,low,no_numeric_periods,true,false,false,false,false,"For information about the length of time that specific types of common administrative records are maintained by a government institution, including the final disposition of those records, please contact the institution’s Access to Information and Privacy Coordinator.","Pour connaître la durée de conservation de certains types de documents administratifs communs par une institution fédérale, y compris la destruction finale de ces documents, veuillez communiquer avec le coordonnateur de l’accès à l’information et de la protection des renseignements personnels."
standard:PSU 942,standard,,,Government of Canada institutions,Institutions du gouvernement du Canada,PSU 942,Public Standard Bank,Evaluation,Évaluation,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#psu942,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#pou942,,,PI_CAT-1|PI_CAT-3|PI_CAT-13|PI_CAT-14|PI_CAT-17|PI_CAT-18,6,1.00,false,false,,access_privacy|communications_engagement,0.94,contractor_supplier|member_general_public|representative_guardian,,,0,q_access_privacy|q_business_supplier|q_civic_contact,3,false,broad_population|possible_sharing|possible_third_party_information,institution_defined,unspecified_start,,,unknown,low,no_numeric_periods,true,false,false,false,false,"For information about the length of time that specific types of common administrative records are maintained by a government institution, including the final disposition of those records, please contact the institution’s Access to Information and Privacy Coordinator.","Pour connaître la durée de conservation de certains types de documents administratifs communs par une institution fédérale, y compris la destruction finale de ces documents, veuillez communiquer avec le coordonnateur de l’accès à l’information et de la protection des renseignements personnels."
standard:PSU 934,standard,,,Government of Canada institutions,Institutions du gouvernement du Canada,PSU 934,Public Standard Bank,EX Talent Management,Gestion des talents des cadres supérieurs,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#psu934,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#pou934,,,PI_CAT-1|PI_CAT-3|PI_CAT-8|PI_CAT-10|PI_CAT-11|PI_CAT-12|PI_CAT-14|PI_CAT-17|PI_CAT-18|PI_CAT-20|PI_CAT-24,11,1.00,true,false,education,access_privacy|government_employment,0.90,,worked_for_government,,0,q_access_privacy|q_government_work,2,false,possible_sharing,institution_defined,unspecified_start,,,unknown,low,no_numeric_periods,true,false,false,false,false,"For information about the length of time that specific types of common administrative records are maintained by a government institution, including the final disposition of those records, please contact the institution’s Access to Information and Privacy Coordinator.","Pour connaître la durée de conservation de certains types de documents administratifs communs par une institution fédérale, y compris la destruction finale de ces documents, veuillez communiquer avec le coordonnateur de l’accès à l’information et de la protection des renseignements personnels."
standard:PSU 918,standard,,,Government of Canada institutions,Institutions du gouvernement du Canada,PSU 918,Public Standard Bank,Governor in Council Appointments,Nominations par le Gouverneur en conseil,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#psu918,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#pou918,,,PI_CAT-1|PI_CAT-3|PI_CAT-5|PI_CAT-8|PI_CAT-10|PI_CAT-12|PI_CAT-13|PI_CAT-14|PI_CAT-15|PI_CAT-16|PI_CAT-17|PI_CAT-20|PI_CAT-22|PI_CAT-24|PI_CAT-25,15,1.00,false,false,,benefits_support|business_regulation|government_employment|health_disability|immigration_citizenship|payments_debt|tax_customs_duties|travel_border,0.88,family_dependent,,,0,q_business_supplier|q_family_vital|q_government_work|q_health_disability|q_immigration|q_money_programs|q_tax_customs|q_travel_border,8,false,possible_third_party_information|sensitive_context,institution_defined,unspecified_start,,,unknown,low,no_numeric_periods,true,false,false,false,false,"For information about the length of time that specific types of common administrative records are maintained by a government institution, including the final disposition of those records, please contact the institution’s Access to Information and Privacy Coordinator.","Pour connaître la durée de conservation de certains types de documents administratifs communs par une institution fédérale, y compris la destruction finale de ces documents, veuillez communiquer avec le coordonnateur de l’accès à l’information et de la protection des renseignements personnels."
standard:PSE 910,standard,,,Government of Canada institutions,Institutions du gouvernement du Canada,PSE 910,Employee Standard Bank,Grievances,Griefs,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#pse910,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#poe910,,,PI_CAT-1|PI_CAT-3|PI_CAT-10|PI_CAT-11|PI_CAT-12|PI_CAT-16|PI_CAT-17|PI_CAT-18|PI_CAT-24,9,1.00,true,false,education,access_privacy|complaints_appeals_legal|government_employment|health_disability,0.99,representative_guardian,worked_for_government,q_complaint_appeal,1,q_access_privacy|q_complaint_appeal|q_government_work|q_health_disability,4,true,possible_sharing|possible_third_party_information|sensitive_context,institution_defined,unspecified_start,,,unknown,low,no_numeric_periods,true,false,false,false,false,"For information about the length of time that specific types of common administrative records are maintained by a government institution, including the final disposition of those records, please contact the institution’s Access to Information and Privacy Coordinator.","Pour connaître la durée de conservation de certains types de documents administratifs communs par une institution fédérale, y compris la destruction finale de ces documents, veuillez communiquer avec le coordonnateur de l’accès à l’information et de la protection des renseignements personnels."
