legal_name_en,tbs_due_name_en,tbs_due_name_fr,central_list_name_en,central_list_name_fr,reporting_entity_en,reporting_entity_fr,annual_due_date_override,infosource_url_en_override,infosource_url_fr_override,pibs_url_en_override,pibs_url_fr_override,classes_url_en_override,classes_url_fr_override,url_evidence_en_override,url_evidence_fr_override,notes
Invest in Canada Hub,,,,,,,,https://www.investcanada.ca/transparency/info-source-chapter-invest-canada,,,,,,https://www.investcanada.ca/transparency/info-source-chapter-invest-canada,,English institution website result verified through web search; no French report was found.
Library and Archives of Canada,,,,,,,,https://www.canada.ca/en/library-archives/services/public/access-information-privacy/infosource.html,https://www.canada.ca/fr/bibliotheque-archives/services/public/acces-information-renseignements-personnels/infosource.html,https://www.canada.ca/en/library-archives/services/public/access-information-privacy/infosource/institution-specific-personal-information-banks.html,https://www.canada.ca/fr/bibliotheque-archives/services/public/acces-information-renseignements-personnels/infosource/categories-documents-renseignements-institution.html,https://www.canada.ca/en/library-archives/services/public/access-information-privacy/infosource/institution-specific-personal-information-banks.html,https://www.canada.ca/fr/bibliotheque-archives/services/public/acces-information-renseignements-personnels/infosource/categories-documents-renseignements-institution.html,https://www.canada.ca/en/library-archives/services/public/access-information-privacy/infosource.html,https://www.canada.ca/fr/bibliotheque-archives/services/public/acces-information-renseignements-personnels/infosource.html,The detailed bilingual pages combine institution-specific Classes of Records and PIBs.
National Film Board,,,National Film Board of Canada,Office national du film du Canada,,,,,,,,,,,,Public-facing name includes Canada.
National Security and Intelligence Review Agency Secretariat,National Security and Intelligence Review Agency,Office de surveillance des activités en matière de sécurité nationale et de renseignement,National Security Intelligence Review Agency,,National Security and Intelligence Review Agency,Office de surveillance des activités en matière de sécurité nationale et de renseignement,,https://nsira-ossnr.gc.ca/en/secretariat/access-to-information-and-privacy/info-source/,https://nsira-ossnr.gc.ca/fr/secretariat/acces-a-l-information-et-a-la-protection-des-renseignements-personnels/info-source/,,,,,https://nsira-ossnr.gc.ca/en/secretariat/access-to-information-and-privacy/info-source/,https://nsira-ossnr.gc.ca/fr/secretariat/acces-a-l-information-et-a-la-protection-des-renseignements-personnels/info-source/,TBS uses the agency name while the Act lists its secretariat; current bilingual pages verified through web search.
Office of the Administrator of the Fund for Railway Accidents Involving Designated Goods,Ship and Rail Compensation Canada,Indemnisation navire et rail Canada,,,Ship and Rail Compensation Canada,Indemnisation navire et rail Canada,12-31,https://ship-rail.gc.ca/corporate/info-source,https://navire-rail.gc.ca/organisation/source-information,,,,,https://ship-rail.gc.ca/corporate/info-source,https://navire-rail.gc.ca/organisation/source-information,TBS assigns the combined reporting entity Ship and Rail Compensation Canada.
Office of the Administrator of the Ship-source Oil Pollution Fund,Ship and Rail Compensation Canada,Indemnisation navire et rail Canada,,,Ship and Rail Compensation Canada,Indemnisation navire et rail Canada,12-31,https://ship-rail.gc.ca/corporate/info-source,https://navire-rail.gc.ca/organisation/source-information,,,,,https://ship-rail.gc.ca/corporate/info-source,https://navire-rail.gc.ca/organisation/source-information,TBS assigns the combined reporting entity Ship and Rail Compensation Canada.
Office of the Correctional Investigator of Canada,,,Office of the Correctional Investigator,,Office of the Correctional Investigator,Bureau de l’enquêteur correctionnel,,https://oci-bec.gc.ca/en/content/transparency/info-source,https://oci-bec.gc.ca/fr/content/transparence/info-source,,,,,https://oci-bec.gc.ca/en/content/transparency/info-source,https://oci-bec.gc.ca/fr/content/transparence/info-source,Public-facing name omits of Canada; bilingual current routes verified through web search.
Office of the Intelligence Commissioner,,,,,,,,https://www.canada.ca/content/dam/oic-bcr/info-source/2025%20-%20Info%20Source%20-%20Sources%20of%20Federal%20Government%20and%20Employee%20Information.pdf,https://www.canada.ca/content/dam/oic-bcr/info-source/2025%20-%20Info%20Source%20-%20Sources%20de%20renseignements%20du%20gouvernement%20f%C3%A9d%C3%A9ral%20et%20sur%20les%20fonctionnaires%20f%C3%A9d%C3%A9raux.pdf,,,,,https://www.canada.ca/content/dam/oic-bcr/info-source/2025%20-%20Info%20Source%20-%20Sources%20of%20Federal%20Government%20and%20Employee%20Information.pdf,https://www.canada.ca/content/dam/oic-bcr/info-source/2025%20-%20Info%20Source%20-%20Sources%20de%20renseignements%20du%20gouvernement%20f%C3%A9d%C3%A9ral%20et%20sur%20les%20fonctionnaires%20f%C3%A9d%C3%A9raux.pdf,Bilingual 2025 reports verified through web search.
Office of the Information Commissioner,,,Office of the Information Commissioner of Canada,Commissariat à l’information du Canada,,,,,,,,,,,,Public-facing name includes Canada.
Prince Rupert Port Authority,,,,,,,,https://www.rupertport.com/infosource/,https://www.rupertport.com/fr/linfosource/,,,,,https://www.rupertport.com/infosource/,https://www.rupertport.com/fr/linfosource/,Bilingual institution website results verified through web search.
Royal Canadian Mounted Police External Review Committee,,,,,,,,,,,,,,,,TBS English due-date source contains Mountain instead of Mounted.
Secretariat of the National Security and Intelligence Committee of Parliamentarians,,,,,,,,https://www.canada.ca/en/secretariat-national-security-intelligence-committee-parliamentarians/corporate/transparency/info-source/2025.html,https://www.canada.ca/fr/secretariat-comite-parlementaires-securite-nationale-renseignement/organisation/transparence/info-source/2025.html,,,,,https://www.canada.ca/en/secretariat-national-security-intelligence-committee-parliamentarians/corporate/transparency/info-source/2025.html,https://www.canada.ca/fr/secretariat-comite-parlementaires-securite-nationale-renseignement/organisation/transparence/info-source/2025.html,Bilingual 2025 pages verified through web search.
Social Sciences and Humanities Research Council,,,Social Sciences and Humanities Research Council of Canada,Conseil de recherches en science humaines,,,,,,,,,,,,Public-facing name includes Canada; French central-list source contains a grammatical error.
Vancouver Fraser Port Authority,,,Port of Vancouver,Port de Vancouver,,,,https://www.portvancouver.com/transparency/info-source/,https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fwww.portvancouver.com%2Fwp-content%2Fuploads%2F2015%2F07%2F2017-Sources-de-renseignements-du-gouvernement-f%25C3%25A9d%25C3%A9ral.docx&wdOrigin=BROWSELINK,,,,,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/list-institutions.html,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/liste-organisations.html,TBS central list uses Port of Vancouver.
